email,slug,campaign,sent_at
bureau@chic-choc-coiffure.fr,lorient-chic-choc-coiffure-esthetique,W6,2026-06-16
c.benoiston@orange.fr,saint-julien-en-genevois-marinaxel-coiffure,W3,2026-06-13
c.et.a.coiffure@gmail.com,beaufort-en-anjou-ceta-coiffure,W6,2026-06-17
c.frizura@gmail.com,lyon-charlotte-frizura-coiffure-mariage,W3,2026-06-10
cacy.b38@gmail.com,four-coiffure-caroline,W3,2026-06-09
calirio9@gmail.com,saint-denis-en-val-elle-vcoif,W6,2026-06-16
caluireetcuire-cc@franckprovost.com,lyon-franck-provost,W3,2026-06-10
calvodorothee@gmail.com,angers-d-calvo-ecole-massages-dasie,W6,2026-06-17
cameliamch@yahoo.com,annemasse-doctor-poux-centre-de-traitement-anti-poux,W3,2026-06-09
camille.dewilden@gmail.com,quimperle-carre-detente,W6,2026-06-16
camille.lager.mariage@gmail.com,saint-heand-linstant-magique,W3,2026-06-09
camille.pfister.d@gmail.com,grenoble-hairdresser-the-sunroom-on-court,W3,2026-06-09
camille.s.fontana@gmail.com,filliere-camille-coiffure,W3,2026-06-13
camilleguillore25@gmail.com,longue-jumelles-camille-hair-coiffeuse-a-domicile,W6,2026-06-16
candypassioncoiffure@gmail.com,epernay-candy-passion-coiffure,W6-2,2026-06-27
carbonnetg@gmail.com,metz-gregory-noel-hair-spa,W6-2,2026-06-30
caro-289@hotmail.fr,brain-sur-lauthion-lm-coiff-et-style,W6,2026-06-13
carole-jouve@orange.fr,saint-peray-salon-jouve-coiffure,W3,2026-06-10
carole.campart@gmail.com,bons-en-chablais-missthair-coiffure-bons-en-chablais,W3,2026-06-09
carole.descamps02@gmail.com,demigny-le-boudoir-by-carole-coiffure-head-spa-onco-coiffure,W6,2026-06-11
caroleaubry@sfr.fr,epinal-jean-louis-david-coiffeur-epinal,W6-2,2026-06-30
caroline.voineau@laposte.net,angers-maison-voineau,W6,2026-06-13
carolinepiano71@gmail.com,chalon-sur-saone-mademoiselle-caroline,W6,2026-06-16
carpediemcoiffure1@gmail.com,bollwiller-carpe-diem,W6-2,2026-06-30
carpediemcoiffure54@gmail.com,nancy-carpe-diem-coiffure-coiffeur-maitre-coloriste-expert-nancy,W6-2,2026-06-30
carpycoiffeur@orange.fr,bourges-coiffure-sen,W6,2026-06-13
carrev.coiffeur@gmail.com,tours-carre-v-tours-nord,W6,2026-06-13
cassantalicia26@gmail.com,montlouis-sur-loire-alicoiffs,W6,2026-06-17
catherine.coiffure.esthetique@gmail.com,auzouer-en-touraine-catherine-coiffure-bien-etre,W6,2026-06-17
catherine.guitteny@sfr.fr,oree-danjou-cathy-coiffure-coiffeuse-a-oree-danjou,W6-2,2026-06-28
catherine.loz35@gmail.com,guichen-catherine-lozachmeur-coupe-energetique,W6,2026-06-10
cathy.huvette@gmail.com,le-coudray-latelier-coiffure,W6,2026-06-13
cathy@transformetmoi.com,les-sauvages-transformet-moi,W3,2026-06-09
cathycoiffure.grignan@orange.fr,grignan-cathy-coiffure-a-domicile,W3,2026-06-02
cbruchon@groupebarriere.com,courchevel-fouquets-courchevel-hair-salon,W3,2026-06-11
cbs.elletlui@gmail.com,le-malesherbois-c-b-s-cosmetics,W6,2026-06-17
ccconcept.hair@gmail.com,grenoble-linstitut-capillaire-cc-concept-sc-concept,W3,2026-06-09
cccontact@nicolas-coiffure.fr,mulhouse-nicolas-coiffeur-a-mulhouse-perruque-naturelle-prothese-medicale-et-tur,W6-2,2026-06-30
cccourcellesreims51@gmail.com,tinqueux-coiffetco-coiffeur-tinqueux,W6-2,2026-06-27
cdanslhaircoiffure@gmail.com,crach-coiffure-a-domicile-c-dans-lhair-ei,W6,2026-06-17
ceceschoepflin@gmail.com,evian-les-bains-tchip-coiffure-evian-les-bains,W3,2026-06-13
cecile.beroujon@gmail.com,bourg-en-bresse-cheveux-dangle,W3,2026-06-09
cecile.livet44@gmail.com,ferel-jenny-peigne-ni-ciseaux,W6,2026-06-17
cecilephc@outlook.fr,lyon-cl-concept-lyon-cecile-l,W3,2026-06-09
celialaumain@gmail.com,macon-lartisan-coiffeur,W6,2026-06-16
celine.moscatelli@gmail.com,meyzieu-celine-coiffure-esthetique,W3,2026-06-10
celine14b@icloud.com,montrevel-en-bresse-soi-uniq,W3,2026-06-09
celine3822@live.fr,aix-les-bains-davidetson-coiffeur-aix-les-bains,W3,2026-06-11
celineateliercoiffure@gmail.com,rennes-celine-atelier-coiffure,W6,2026-06-16
celinecoiffure45@gmail.com,villorceau-celine-coiffure,W6,2026-06-17
celinemaigrot@yahoo.fr,larmor-plage-celma-salon-de-coiffure,W6,2026-06-17
centerbarber@hotmail.com,tours-le-labo-barber-shop-2,W6,2026-06-13
centre.capillaire.salv@gmail.com,saint-andre-les-vergers-centre-capillaire-isabelle-cordonnier-troyes,W6-2,2026-06-27
cercle.coiffure@2mile.fr,yzeure-cercle-coiffure,W3,2026-06-09
ceres@mail.com,annemasse-ch-barber-shop,W3,2026-06-09
cfcoiffure@yahoo.com,auneau-bleury-saint-symphorien-cetf-coiffure,W6,2026-06-13
cgcoiffure@hotmail.fr,tarare-cel-a-gam-beaute-cg-coiffure,W3,2026-06-10
cgcoiffureprive@gmail.com,evian-les-bains-cg-coiffure-prive,W3,2026-06-09
cguerre3@orange.fr,grenoble-salon-guerre-cyril,W3,2026-06-09
chambery@cpouxpossible.fr,chambery-cpoux-possible-chambery-centre-anti-poux,W3,2026-06-11
chanceladecoiffure@orange.fr,saint-etienne-coiffure-chancelade,W3,2026-06-10
chantalurios70@gmail.com,decines-charpieu-salon-s-dojem,W3,2026-06-10
chantillon@gmail.com,faverges-lily-passion-beaute,W3,2026-06-13
charline.bonier.74@hotmail.fr,rumilly-l-entre-d-eux,W3,2026-06-09
charlinebelabbas@gmail.com,villefontaine-charlyne-bls,W3,2026-06-09
charlinej51@hotmail.fr,loisin-jean-louis-david-coiffeur-loisin,W3,2026-06-13
chassieu@frederic-moreno.com,chassieu-frederic-moreno-coiffure,W3,2026-06-10
chatte@aprecial.fr,chatte-aprecial-chatte,W3,2026-06-09
cheveuxdange1@gmail.com,chateauroux-cheveux-dange,W6,2026-06-16
cheveuxdange38@free.fr,noyarey-cheveux-dange,W3,2026-06-09
chezmartin01@hotmail.com,divonne-les-bains-chez-martin,W3,2026-06-09
chicetcharme@hotmail.fr,saint-denis-en-val-chic-et-charme,W6,2026-06-16
chloe-cpod@hotmail.fr,saint-jeoire-chez-chloe,W3,2026-06-09
chloe.ltacreation@gmail.com,domarin-lta-creation,W3,2026-06-09
chris.violet@orange.fr,les-vans-coiffure-domy-styl-mixte,W3,2026-06-10
christ3974@hotmail.fr,thones-coiffure-o-naturel,W3,2026-06-13
christelle.depery@gmail.com,cluses-les-ciseaux-de-chrystelle-coiffure-a-domicile,W3,2026-06-13
christellechaize00@gmail.com,chomelix-la-maison-du-poux,W3,2026-06-13
christian.roche07@gmail.com,ardoix-salon-mhair,W3,2026-06-10
christiane.lamotte46@gmail.com,sainte-anne-dauray-stylcoiffure,W6,2026-06-16
christinepeyronon@gmail.com,monistrol-sur-loire-mon-rendez-vous-coiffure,W3,2026-06-13
christophe.lafficher58@gmail.com,saint-meloir-des-ondes-lv-barber-concept,W6,2026-06-16
chromatiquebygf@gmail.com,la-tour-du-pin-chromatique-by-gf,W3,2026-06-09
chrysmeignaud@gmail.com,suippes-chryslaure-esthetiff,W6-2,2026-06-26
chrystelcoiffure@mysite.com,aix-les-bains-chrystel-coiffure,W3,2026-06-09
ciseaux@lh-coiffure.com,ensisheim-lh-coiffure-et-esthetique,W6-2-GrandEst,
ciseauxdorstrasbourg@gmail.com,strasbourg-ciseaux-dor-femme,W6-2,2026-06-27
cityzen.coiffure@gmail.com,lyon-city-zen-coiffure,W3,2026-06-10
ckim.stylingwithimelda@gmail.com,pont-pean-ckims-the-beauty-box-by-imelda-specialiste-de-la-coiffure-afro-america,W6,2026-06-12
cl.coiffure68@gmail.com,colmar-cl-coiffure,W6-2,2026-06-27
clarinazucconi@gmail.com,pouilly-les-nonains-cheveux-dange-perruques-turbans-roanne-accompagnement-cancer,W3,2026-06-09
clasbeauty01@gmail.com,paimpol-cla-s-beauty,W6,2026-06-11
claudiestyle@hotmail.fr,ouroux-sur-saone-claudie-style,W6,2026-06-17
claudine-m@numericable.fr,rixheim-coiffure-hair-concept,W6-2,2026-06-27
claudine.g.c.kaiser@gmail.com,guilers-nancy-b,W6,2026-06-11
cleanikcut31@gmail.com,nancy-cleanikcut,W6-2,2026-06-30
clem.pallares@gmail.com,luzinay-silver-select-luzinay,W3,2026-06-09
clement.hadrot@gmail.com,strasbourg-au-32-un-temps-pour-lhomme-et-pour-la-femme,W6-2,2026-06-30
clementine.fesq@gmail.com,lyon-salon-bo,W3,2026-06-10
clementine.monsch@yahoo.fr,niederhaslach-bulle-dhair-coiffure-a-domicile,W6-2,2026-06-30
clg.coiffure.pro@gmail.com,pontivy-clg-coiffure-maitre-artisan-coiffeur,W6,2026-06-17
clippercole11@gmail.com,saint-yvi-cote-salon,W6,2026-06-17
cloane.coiffure@gmail.com,berric-cloane-coiffure,W6,2026-06-13
cm.njassocies@gmail.com,montlucon-saint-algue-coiffeur-montlucon,W3,2026-06-09
cmaimbourg@hotmail.com,collonges-catherine-coiffure,W3,2026-06-09
cocoonbyll@gmail.com,concarneau-cocoon,W6,2026-06-17
coiffartiste@gmail.com,rennes-coiffartiste,W6,2026-06-17
coiffbienetre2@gmail.com,haguenau-coiffure-bien-etre,W6-2,2026-06-30
